Filename                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
src/zserio/ZserioTreeCreator.cpp                                       4                 0   100.00%           1                 0   100.00%          11                 0   100.00%           6                 0   100.00%
src/zserio/ZserioTreeCreator.h                                       237                 0   100.00%          49                 0   100.00%         426                 0   100.00%         174                 0   100.00%
src/zserio/pmr/MemoryResource.cpp                                      6                 0   100.00%           3                 0   100.00%          12                 0   100.00%           2                 0   100.00%
src/zserio/pmr/MemoryResource.h                                        9                 0   100.00%           7                 0   100.00%          18                 0   100.00%           4                 0   100.00%
src/zserio/pmr/NewDeleteResource.cpp                                   1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
src/zserio/pmr/NewDeleteResource.h                                     3                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
src/zserio/pmr/PolymorphicAllocator.h                                 12                 0   100.00%          12                 0   100.00%          32                 0   100.00%           0                 0         -
test/zserio/AllocatorHolderTest.cpp                                   12                 0   100.00%          12                 0   100.00%          52                 0   100.00%           0                 0         -
test/zserio/AllocatorPropagatingCopyTest.cpp                          49                 2    95.92%          30                 2    93.33%         171                 6    96.49%           0                 0         -
test/zserio/AnyHolderTest.cpp                                        106                 0   100.00%          41                 0   100.00%         426                 0   100.00%           0                 0         -
test/zserio/ArrayTest.cpp                                            277                 1    99.64%         114                 0   100.00%         930                 0   100.00%          82                 0   100.00%
test/zserio/BitBufferTest.cpp                                        106                 0   100.00%          24                 0   100.00%         318                 0   100.00%          14                 0   100.00%
test/zserio/BitFieldUtilTest.cpp                                      32                 0   100.00%           2                 0   100.00%          36                 0   100.00%           0                 0         -
test/zserio/BitPositionUtilTest.cpp                                    9                 0   100.00%           1                 0   100.00%          12                 0   100.00%           0                 0         -
test/zserio/BitSizeOfCalculatorTest.cpp                              171                 0   100.00%          11                 0   100.00%         204                 0   100.00%           0                 0         -
test/zserio/BitStreamReaderTest.cpp                                   54                 3    94.44%          13                 0   100.00%         103                 0   100.00%           6                 0   100.00%
test/zserio/BitStreamTest.cpp                                        125                 1    99.20%          33                 0   100.00%         508                 0   100.00%          28                 0   100.00%
test/zserio/BitStreamWriterTest.cpp                                   91                 1    98.90%          25                 0   100.00%         238                 0   100.00%          22                 0   100.00%
test/zserio/BuiltInOperatorsTest.cpp                                  42                 0   100.00%           9                 0   100.00%          58                 0   100.00%           0                 0         -
test/zserio/ConstraintExceptionTest.cpp                                1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/CppRuntimeExceptionTest.cpp                               21                 0   100.00%          12                 0   100.00%          76                 0   100.00%           2                 0   100.00%
test/zserio/CppRuntimeVersionTest.cpp                                  1                 0   100.00%           1                 0   100.00%           2                 0   100.00%           0                 0         -
test/zserio/DebugStringUtilTest.cpp                                   98                 0   100.00%          68                 0   100.00%         484                 0   100.00%           0                 0         -
test/zserio/EnumsTest.cpp                                             44                 0   100.00%          15                 0   100.00%          94                 0   100.00%          20                 0   100.00%
test/zserio/FileUtilTest.cpp                                          22                 0   100.00%           4                 0   100.00%          51                 0   100.00%           8                 0   100.00%
test/zserio/FloatUtilTest.cpp                                         17                 0   100.00%          13                 0   100.00%         133                 0   100.00%           8                 0   100.00%
test/zserio/HashCodeUtilTest.cpp                                      44                 0   100.00%          27                 0   100.00%         168                 0   100.00%           0                 0         -
test/zserio/HeapOptionalHolderTest.cpp                               161                 0   100.00%          31                 0   100.00%         430                 0   100.00%           0                 0         -
test/zserio/InplaceOptionalHolderTest.cpp                             92                 0   100.00%          29                 0   100.00%         282                 0   100.00%           0                 0         -
test/zserio/JsonDecoderTest.cpp                                       54                 5    90.74%          14                 0   100.00%         163                 0   100.00%           0                 0         -
test/zserio/JsonEncoderTest.cpp                                       50                 2    96.00%           5                 0   100.00%         144                 0   100.00%           0                 0         -
test/zserio/JsonParserTest.cpp                                        37                 0   100.00%          23                 0   100.00%         238                 0   100.00%           2                 0   100.00%
